,2.1 C2
32.1 C32,2
32.2 (C4 x C2) : C4,4
32.3 C8 x C4,4
32.4 C8 : C4,4
32.5 (C8 x C2) : C2,4
32.6 (C2 x C2 x C2) : C4,4
32.7 (C8 : C2) : C2,4
32.8 C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2),4
32.9 (C8 x C2) : C2,4
32.10 Q8 : C4,4
32.11 (C4 x C4) : C2,4
32.12 C4 : C8,4
32.13 C8 : C4,4
32.14 C8 : C4,4
32.15 C4 . D8 = C4 . (C4 x C2),4
32.16 C16 x C2,4
32.17 C16 : C2,4
32.18 D32,4
32.19 QD32,4
32.20 Q32,4
32.21 C4 x C4 x C2,8
32.22 C2 x ((C4 x C2) : C2),8
32.23 C2 x (C4 : C4),8
32.24 (C4 x C4) : C2,8
32.25 C4 x D8,8
32.26 C4 x Q8,8
32.27 (C2 x C2 x C2 x C2) : C2,8
32.28 (C4 x C2 x C2) : C2,8
32.29 (C2 x Q8) : C2,8
32.30 (C4 x C2 x C2) : C2,8
32.31 (C4 x C4) : C2,8
32.32 (C2 x C2) . (C2 x C2 x C2),8
32.33 (C4 x C4) : C2,8
32.34 (C4 x C4) : C2,8
32.35 C4 : Q8,8
32.36 C8 x C2 x C2,8
32.37 C2 x (C8 : C2),8
32.38 (C8 x C2) : C2,8
32.39 C2 x D16,8
32.40 C2 x QD16,8
32.41 C2 x Q16,8
32.42 (C8 x C2) : C2,8
32.43 C8 : (C2 x C2),8
32.44 (C2 x Q8) : C2,8
32.45 C4 x C2 x C2 x C2,16
32.46 C2 x C2 x D8,16
32.47 C2 x C2 x Q8,16
32.48 C2 x ((C4 x C2) : C2),16
32.49 (C2 x C2 x C2) : (C2 x C2),16
32.50 (C2 x Q8) : C2,16
32.51 C2 x C2 x C2 x C2 x C2,32
